,tl,tm,tr,ml,mm,mr,ll,lm,lr,Class
202,x,o,b,x,o,b,x,x,o,positive
203,b,b,x,o,x,b,x,o,b,positive
204,x,o,x,x,x,o,o,x,o,negative
205,x,o,x,x,b,o,x,o,b,positive
206,o,o,x,x,o,x,b,b,x,positive
207,x,o,o,x,o,b,x,b,x,positive
208,x,x,o,x,o,o,x,b,b,positive
209,x,o,o,o,x,x,x,x,o,negative
210,x,b,x,x,o,o,x,b,o,positive
211,b,x,b,o,x,o,x,x,o,positive
212,b,b,b,o,b,o,x,x,x,positive
213,x,b,x,o,o,o,b,x,b,negative
214,b,x,o,x,x,x,b,o,o,positive
215,o,x,o,o,x,x,o,b,x,negative
216,b,b,x,x,o,x,o,o,x,positive
217,o,x,b,o,b,x,o,b,x,negative
218,x,o,o,b,o,x,x,o,x,negative
219,x,b,b,b,x,b,o,o,x,positive
220,x,b,b,x,x,b,o,o,o,negative
221,o,b,o,x,x,x,b,x,o,positive
222,x,b,o,x,o,o,x,x,b,positive
223,b,x,o,x,x,o,x,o,o,negative
224,x,o,o,b,x,o,b,x,x,positive
225,x,b,o,x,o,b,o,x,b,negative
226,x,b,b,o,x,b,b,o,x,positive
227,o,x,x,b,o,b,x,b,o,negative
228,b,x,o,o,b,o,x,x,x,positive
229,x,b,x,o,o,o,x,o,x,negative
230,b,x,x,o,o,x,o,b,x,positive
231,o,o,o,b,x,x,x,x,o,negative
232,o,o,x,x,o,b,x,o,x,negative
233,b,b,x,o,b,x,b,o,x,positive
234,o,x,x,x,o,o,x,o,x,negative
235,b,x,o,b,x,o,x,b,o,negative
236,x,x,x,b,b,o,o,x,o,positive
237,o,o,o,x,x,b,x,b,b,negative
238,x,x,b,o,x,o,o,x,b,positive
239,o,o,x,x,x,x,o,b,b,positive
240,b,x,o,x,b,o,x,b,o,negative
241,o,b,o,x,x,o,x,x,o,negative
242,x,o,o,x,x,x,o,o,x,positive
243,x,b,b,o,o,o,b,x,x,negative
244,o,x,o,x,o,x,o,x,b,negative
245,b,x,b,o,x,b,b,x,o,positive
246,b,o,o,o,x,b,x,x,x,positive
247,o,o,b,x,x,x,b,x,o,positive
248,o,x,x,o,x,b,x,o,b,positive
249,x,o,b,b,x,b,b,o,x,positive
250,x,x,x,o,b,o,b,b,b,positive
251,b,b,o,x,b,o,x,x,o,negative
252,o,x,x,o,o,x,x,b,o,negative
253,b,x,x,o,o,o,b,x,b,negative
254,b,x,b,b,x,x,o,o,o,negative
255,x,o,x,b,o,x,o,b,x,positive
256,b,x,o,b,x,x,o,x,o,positive
257,b,x,b,o,x,b,o,x,b,positive
258,o,x,x,x,x,o,o,x,o,positive
259,b,x,o,b,o,x,o,b,x,negative
260,o,x,x,b,x,o,x,o,b,positive
261,x,x,x,x,o,o,o,o,x,positive
262,x,x,x,o,b,x,b,o,o,positive
263,x,o,x,o,b,x,o,b,x,positive
264,x,o,b,x,o,o,x,x,b,positive
265,x,o,b,o,x,b,x,o,x,positive
266,x,x,b,x,o,b,x,o,o,positive
267,x,o,o,x,o,o,x,x,x,positive
268,x,b,b,x,x,o,x,o,o,positive
269,b,x,o,b,x,o,o,x,x,positive
270,x,x,o,x,x,o,o,o,x,positive
271,o,o,x,b,o,x,b,x,x,positive
272,x,o,x,o,x,b,b,o,x,positive
273,x,b,o,x,x,x,o,o,b,positive
274,x,x,b,o,x,x,o,o,o,negative
275,x,x,o,b,x,x,o,o,o,negative
276,o,b,x,x,x,x,o,o,b,positive
277,x,x,b,b,b,x,o,o,o,negative
278,x,x,o,o,o,o,x,x,b,negative
279,b,o,x,o,x,b,x,o,x,positive
280,x,x,x,o,o,x,x,o,o,positive
281,o,o,x,x,x,x,o,o,x,positive
282,o,o,x,x,b,x,o,b,x,positive
283,b,x,b,b,x,o,b,x,o,positive
284,b,b,o,x,o,x,o,b,x,negative
285,b,o,o,x,x,x,o,x,b,positive
286,x,b,b,b,x,o,b,o,x,positive
287,x,o,x,x,o,x,o,x,o,negative
288,b,b,o,x,x,x,b,b,o,positive
289,b,o,b,x,o,b,x,o,x,negative
290,b,x,o,o,x,x,b,x,o,positive
291,o,b,b,x,o,x,x,b,o,negative
292,o,o,o,x,b,x,x,b,b,negative
293,x,o,x,x,o,b,x,b,o,positive
294,o,b,x,o,x,b,o,b,x,negative
295,o,x,b,o,x,b,b,x,b,positive
296,x,o,b,x,o,x,b,o,b,negative
297,x,o,b,x,x,o,x,b,o,positive
298,b,x,x,o,o,o,x,b,b,negative
299,x,b,o,x,x,o,o,x,o,negative
300,o,x,b,x,o,x,o,x,o,negative
301,b,b,o,b,o,b,x,x,x,positive
302,b,x,o,x,o,b,o,x,b,negative
303,o,b,x,b,o,o,x,x,x,positive
304,x,o,o,x,o,x,b,o,x,negative
305,x,x,x,o,b,o,x,b,o,positive
306,x,x,x,x,b,o,o,b,o,positive
307,o,b,x,x,o,x,x,o,o,negative
308,b,o,b,o,x,o,x,x,x,positive
309,o,x,o,b,x,x,o,x,b,positive
310,x,x,o,o,x,o,o,x,x,positive
311,o,b,x,x,o,x,b,o,x,positive
312,x,x,x,o,x,o,o,x,o,positive
313,b,o,x,b,x,x,o,o,x,positive
314,o,o,x,o,x,o,x,x,x,positive
315,b,b,x,b,x,o,x,o,b,positive
316,b,x,b,x,x,o,o,x,o,positive
317,o,x,o,b,o,x,x,x,o,negative
318,x,b,b,o,x,b,o,b,x,positive
319,x,b,o,x,x,x,o,b,o,positive
320,o,b,x,b,o,b,x,x,o,negative
321,x,x,o,o,x,x,x,o,o,negative
322,x,b,b,x,o,b,x,b,o,positive
323,x,b,b,o,x,o,o,x,x,positive
324,x,x,b,x,o,o,x,o,b,positive
325,o,o,o,x,b,x,b,x,b,negative
326,b,o,x,o,x,b,x,b,b,positive
327,x,b,x,b,x,b,o,o,o,negative
328,o,o,o,x,x,b,b,b,x,negative
329,b,o,x,o,o,x,x,b,x,positive
330,x,o,o,x,x,o,b,b,x,positive
331,b,b,x,x,x,b,o,o,o,negative
332,o,x,x,x,x,b,o,o,o,negative
333,x,o,x,o,o,o,b,x,x,negative
334,o,x,x,b,o,x,b,o,x,positive
335,x,o,b,o,x,o,x,b,x,positive
336,b,x,o,x,o,o,x,x,o,negative
337,x,x,b,b,x,o,o,x,o,positive
338,o,b,b,o,x,x,o,b,x,negative
339,x,x,x,o,x,b,o,b,o,positive
340,x,b,o,x,o,x,x,o,b,positive
341,o,x,o,x,x,o,x,b,o,negative
342,b,x,x,o,b,x,o,o,x,positive
343,o,o,b,x,x,x,o,b,x,positive
344,x,x,o,o,o,x,x,o,x,negative
345,x,b,x,x,x,o,o,o,o,negative
346,b,x,b,b,x,b,o,x,o,positive
347,x,o,o,b,o,x,o,x,x,negative
348,x,x,b,x,b,o,x,o,o,positive
349,o,b,x,b,o,x,x,b,o,negative
350,o,x,b,x,o,o,x,x,o,negative
351,b,o,x,o,x,x,b,o,x,positive
352,x,o,o,x,o,b,x,x,b,positive
353,o,b,b,x,x,x,o,b,b,positive
354,x,o,x,x,o,b,b,o,b,negative
355,x,o,o,x,x,x,o,x,o,positive
356,x,o,x,o,x,x,o,x,o,negative
357,x,x,x,o,o,b,x,o,b,positive
358,o,b,x,b,x,x,o,o,x,positive
359,b,x,o,x,o,b,o,b,x,negative
360,o,b,x,o,x,b,x,x,o,positive
361,o,x,o,b,b,o,x,x,x,positive
362,o,o,x,x,x,o,x,x,o,positive
363,o,x,x,b,o,x,x,o,o,negative
364,b,o,o,o,b,x,x,x,x,positive
365,b,x,x,o,x,x,o,o,o,negative
366,x,b,x,o,o,o,o,x,x,negative
367,o,x,b,x,x,o,b,x,o,positive
368,x,x,o,b,b,o,b,x,o,negative
369,o,x,b,o,x,x,b,x,o,positive
370,x,o,b,o,b,o,x,x,x,positive
371,x,o,x,b,x,o,o,b,x,positive
372,x,o,o,x,x,o,o,x,x,positive
373,x,o,x,x,x,o,x,o,o,positive
374,x,x,o,o,x,b,b,x,o,positive
375,x,x,o,x,b,b,x,o,o,positive
376,x,o,o,x,b,x,x,b,o,positive
377,b,x,x,b,x,o,o,x,o,positive
378,b,o,o,x,o,b,x,x,x,positive
379,o,x,o,b,x,b,b,x,b,positive
380,x,o,x,b,x,b,x,o,o,positive
381,o,x,o,x,x,x,b,b,o,positive
382,x,o,x,o,o,x,x,o,b,negative
383,o,b,x,b,b,x,b,o,x,positive
384,o,x,x,o,x,o,o,b,x,negative
385,b,o,x,x,o,b,b,o,x,negative
386,b,b,o,o,b,b,x,x,x,positive
387,b,x,x,o,x,b,x,o,o,positive
388,x,b,o,x,o,o,x,b,x,positive
389,x,b,b,x,o,o,x,b,b,positive
390,x,o,b,x,x,x,o,o,b,positive
391,b,x,o,b,x,b,b,x,o,positive
392,b,o,b,x,x,x,x,o,o,positive
393,x,x,b,b,x,o,o,o,x,positive
394,b,b,o,x,o,x,o,x,b,negative
395,b,o,b,x,x,x,o,o,x,positive
396,x,b,o,o,x,b,b,b,x,positive
397,b,b,o,b,x,o,x,x,o,negative
398,x,o,b,x,o,b,x,b,b,positive
399,o,o,o,x,b,x,o,x,x,negative
400,o,o,x,b,x,x,x,o,b,positive
401,x,o,o,x,b,o,x,x,b,positive
402,x,o,o,x,x,b,x,o,b,positive
403,x,b,x,o,o,o,b,b,x,negative
404,x,o,b,x,o,b,b,o,x,negative
405,b,x,x,x,o,x,o,o,o,negative
406,x,x,o,b,o,o,x,x,o,negative
407,x,o,o,x,x,b,o,b,x,positive
408,o,o,x,b,o,b,x,x,x,positive
409,o,o,x,o,x,x,x,x,o,positive
410,o,b,x,b,x,o,x,b,b,positive
411,x,b,x,o,o,x,o,b,x,positive
412,b,x,b,x,x,b,o,o,o,negative
413,x,x,o,x,x,o,b,o,o,negative
414,b,x,b,o,o,o,x,x,b,negative
415,x,o,o,x,x,o,b,x,o,negative
416,x,x,o,x,o,o,x,o,x,positive
417,o,o,x,x,o,x,x,o,b,negative
418,o,x,b,b,x,o,o,x,x,positive
419,o,b,o,x,x,x,o,b,x,positive
420,x,x,x,b,o,b,b,b,o,positive
421,o,o,x,b,x,x,o,b,x,positive
422,x,x,o,x,o,b,o,x,o,negative
423,b,o,x,b,o,b,x,o,x,negative
424,o,b,o,b,x,o,x,x,x,positive
425,o,o,x,o,x,x,x,o,x,positive
426,x,b,o,x,b,b,x,b,o,positive
427,x,b,x,b,o,x,o,o,x,positive
428,o,b,x,o,o,x,b,x,x,positive
429,x,x,o,o,o,x,o,b,x,negative
430,o,o,x,x,x,b,x,o,b,positive
431,b,o,o,b,b,b,x,x,x,positive
432,b,o,x,x,x,x,o,b,o,positive
433,x,x,o,o,x,b,o,x,b,positive
434,o,x,b,x,o,x,x,o,o,negative
435,o,x,o,o,b,b,x,x,x,positive
436,x,x,x,x,b,o,b,o,o,positive
437,x,o,x,b,o,x,b,o,b,negative
438,b,o,o,b,o,x,x,x,x,positive
439,x,b,o,x,o,x,o,b,b,negative
440,x,o,b,b,o,x,b,o,x,negative
441,b,b,o,b,o,x,o,x,x,negative
442,x,o,x,b,x,o,b,o,x,positive
443,x,o,o,o,x,x,o,x,x,positive
444,b,o,b,b,o,b,x,x,x,positive
445,b,b,x,b,o,x,o,b,x,positive
446,b,o,x,b,x,o,x,o,x,positive
447,b,x,o,x,o,x,o,o,x,negative
448,b,b,o,x,x,x,o,x,o,positive
449,o,x,x,b,o,x,o,b,x,positive
450,x,b,o,b,o,o,x,x,x,positive
451,x,o,o,x,x,o,x,b,b,positive
452,o,o,x,x,x,b,x,b,o,positive
453,x,x,x,o,x,o,x,o,o,positive
454,o,o,o,x,o,x,b,x,x,negative
455,x,x,o,o,x,b,o,b,x,positive
456,x,b,o,x,o,x,o,x,o,negative
457,o,o,o,x,b,b,b,x,x,negative
458,x,b,x,o,o,o,x,x,o,negative
459,x,o,x,x,b,b,x,o,o,positive
460,o,o,b,x,x,x,b,b,b,positive
461,x,x,x,b,b,o,x,o,o,positive
462,x,o,x,x,b,x,o,o,o,negative
463,o,x,o,x,x,x,b,o,b,positive
464,o,b,o,b,o,x,x,x,x,positive
465,x,x,o,o,o,o,x,b,x,negative
466,o,x,x,b,x,o,b,x,o,positive
467,o,x,x,b,x,b,o,x,o,positive
468,o,o,o,x,x,b,o,x,x,negative
469,b,o,x,b,x,b,x,o,b,positive
470,o,b,o,x,x,x,x,o,b,positive
471,o,b,o,x,o,x,o,x,x,negative
472,b,o,x,o,x,x,x,o,b,positive
473,x,x,x,b,b,b,b,o,o,positive
474,o,x,b,x,x,b,o,x,o,positive
475,o,x,x,x,x,o,x,o,o,positive
476,x,x,x,o,o,b,o,x,b,positive
477,b,b,b,x,x,x,o,o,b,positive
478,x,x,o,o,x,o,x,o,x,positive
479,o,o,x,b,o,x,x,b,x,positive
480,x,x,o,x,b,o,o,x,o,negative
481,x,b,o,b,x,o,b,x,o,negative
482,o,o,b,x,o,x,x,x,o,negative
483,x,x,o,b,o,x,o,x,o,negative
484,b,b,o,x,o,b,o,x,x,negative
485,x,x,x,o,o,x,o,x,o,positive
486,b,b,x,o,x,x,x,o,o,positive
487,b,o,x,o,o,x,b,x,x,positive
488,x,o,o,x,o,x,x,b,b,positive
489,b,b,x,o,o,x,o,x,x,positive
490,x,x,x,b,o,b,o,x,o,positive
491,x,x,o,b,o,b,o,b,x,negative
492,x,x,x,o,o,b,b,b,b,positive
493,o,x,o,b,x,o,b,x,x,positive
494,b,o,x,b,o,o,x,x,x,positive
495,o,x,b,b,o,x,x,b,o,negative
496,o,o,o,x,x,o,x,b,x,negative
497,x,x,x,o,b,b,o,x,o,positive
498,o,x,x,x,o,x,o,b,o,negative
499,x,b,o,x,b,o,x,o,x,positive
500,b,o,x,o,b,o,x,x,x,positive
501,o,o,x,b,x,o,x,b,x,positive
502,b,o,x,x,o,x,o,b,x,positive
503,x,x,b,o,x,o,b,o,x,positive
504,b,b,b,x,x,x,b,o,o,positive
505,o,x,x,x,o,o,x,b,o,negative
506,o,x,x,x,o,x,b,o,o,negative
507,b,o,x,x,x,x,o,o,b,positive
508,o,x,x,o,o,x,o,x,b,negative
509,x,x,o,x,o,o,o,b,x,negative
510,x,x,o,b,o,o,o,x,x,negative
511,x,o,b,o,x,o,b,x,x,positive
512,x,o,b,x,x,o,o,b,x,positive
513,o,o,x,b,o,x,x,x,o,negative
514,b,b,x,o,x,x,o,o,x,positive
515,o,o,x,b,b,o,x,x,x,positive
516,x,x,x,o,b,o,o,x,b,positive
517,x,b,o,x,o,b,o,b,x,negative
518,o,o,x,x,x,o,o,x,x,negative
519,x,o,x,o,x,o,o,x,x,positive
520,o,x,x,b,x,x,o,o,o,negative
521,x,x,x,o,x,o,o,o,x,positive
522,x,o,x,b,x,x,o,o,o,negative
523,o,x,x,o,x,b,b,x,o,positive
524,o,o,o,b,x,x,x,o,x,negative
525,x,o,x,o,o,b,x,o,x,negative
526,o,o,o,b,b,x,b,x,x,negative
527,b,o,o,x,x,x,o,b,x,positive
528,b,o,x,x,x,b,x,o,o,positive
529,o,b,x,x,o,x,o,x,o,negative
530,x,b,o,x,o,x,x,b,o,positive
531,o,o,b,x,b,o,x,x,x,positive
532,o,x,b,b,x,b,o,x,b,positive
533,x,o,x,x,o,o,b,o,x,negative
534,o,x,o,b,x,o,x,x,b,positive
535,x,b,x,x,o,x,o,o,o,negative
536,o,b,b,x,x,x,b,o,b,positive
537,o,x,b,b,x,b,b,x,o,positive
538,x,o,b,x,b,o,x,o,x,positive
539,b,x,x,b,o,x,o,o,x,positive
540,o,x,x,o,x,b,x,b,o,positive
541,o,o,x,b,x,x,x,b,o,positive
542,o,o,b,x,o,b,x,x,x,positive
543,x,b,x,b,b,x,o,o,o,negative
544,x,b,o,b,x,o,o,x,x,positive
545,b,b,o,x,x,x,o,o,x,positive
546,o,x,x,o,x,o,x,x,o,positive
547,o,b,o,o,x,x,o,x,x,negative
548,o,o,x,b,x,x,b,o,x,positive
549,o,x,x,o,b,x,o,b,b,negative
550,b,b,o,x,x,x,o,b,b,positive
551,x,x,x,b,o,o,b,b,b,positive
552,o,x,x,o,o,o,x,x,b,negative
553,o,x,x,o,b,x,b,o,x,positive
554,x,x,x,b,o,b,o,b,b,positive
555,x,x,x,b,o,b,x,o,o,positive
556,x,o,b,x,x,b,o,o,x,positive
557,o,x,o,x,x,x,o,x,o,positive
558,o,x,x,o,o,o,b,x,x,negative
559,b,o,b,x,o,x,b,o,x,negative
560,o,b,x,b,x,o,x,o,x,positive
561,x,x,b,o,x,o,o,b,x,positive
562,x,b,x,o,x,o,b,o,x,positive
563,o,o,o,x,x,o,x,x,b,negative
564,o,x,o,x,o,x,x,b,o,negative
565,o,x,x,b,x,b,x,o,o,positive
566,x,o,x,o,o,o,x,b,x,negative
567,o,b,x,o,x,o,x,b,x,positive
568,b,b,o,x,x,x,x,o,o,positive
569,x,x,b,x,b,b,o,o,o,negative
570,x,x,o,b,o,b,o,x,b,negative
571,o,x,o,b,x,b,x,x,o,positive
572,o,x,o,x,b,o,x,x,o,negative
573,o,o,x,x,x,o,x,b,b,positive
574,o,b,x,x,x,x,b,o,o,positive
575,b,b,b,o,o,b,x,x,x,positive
576,x,x,x,x,o,o,b,o,b,positive
577,x,x,x,o,o,x,b,b,o,positive
578,o,x,o,x,x,o,o,x,x,positive
579,o,o,o,b,b,x,x,x,b,negative
580,x,x,x,o,x,o,b,b,o,positive
581,b,o,x,x,b,x,o,o,x,positive
582,x,b,b,x,o,o,x,x,o,positive
583,x,o,x,x,x,b,o,o,o,negative
584,o,b,b,o,o,x,x,x,x,positive
585,o,x,b,o,x,b,x,x,o,positive
586,o,x,o,x,x,x,o,o,x,positive
587,b,o,x,o,x,o,x,b,x,positive
588,o,x,b,b,o,o,x,x,x,positive
589,o,x,b,o,b,o,x,x,x,positive
590,o,o,o,o,x,x,x,b,x,negative
591,x,b,b,x,o,o,x,o,x,positive
592,x,o,o,o,b,b,x,x,x,positive
593,o,o,x,o,b,x,x,b,x,positive
594,x,x,x,x,o,o,o,b,b,positive
595,x,o,b,x,x,x,b,o,o,positive
596,o,o,o,x,b,b,x,x,b,negative
597,b,x,o,b,x,b,o,x,b,positive
598,o,x,o,b,x,b,o,x,x,positive
599,o,x,b,o,x,o,x,x,b,positive
600,x,b,o,x,o,b,x,o,x,positive
601,x,x,o,x,o,b,x,o,b,positive
602,b,o,b,o,b,b,x,x,x,positive
603,x,b,x,o,x,b,o,o,x,positive
604,x,b,x,o,x,b,x,o,o,positive
605,o,b,x,o,x,b,x,b,b,positive
